118|1
131|3
170|1
174|1
202|1
248|2
285|1
304|1
326|1
407|1
475|1
493|1
516|1
518|1
522|2
568|1
575|1
594|1
609|1
618|1
621|1
624|2
713|1
740|1
771|2
786|1
809|1
815|2
857|1
914|1
939|1
982|1
988|1
112|1
148|2
156|1
191|1
208|2
258|1
267|1
274|1
275|1
301|2
317|1
334|1
385|1
406|1
455|1
472|2
496|1
556|1
561|1
563|1
614|1
644|1
648|1
666|1
682|1
696|1
723|1
728|1
733|1
765|1
784|1
790|1
845|1
852|1
867|1
919|1
936|1
945|1
117|1
158|1
165|2
188|1
218|1
276|1
284|1
335|1
357|1
363|1
381|2
400|1
450|3
531|1
536|1
542|1
593|1
603|1
632|1
665|1
667|1
668|1
669|1
689|1
695|1
700|2
729|1
753|1
757|1
783|1
818|1
826|1
828|1
838|1
892|1
908|1
113|1
135|1
177|1
207|1
213|1
265|1
288|1
338|1
346|1
361|2
394|2
399|1
405|1
412|1
447|1
532|1
549|1
550|1
649|1
703|2
708|2
746|1
751|1
759|2
766|1
820|1
839|1
848|1
907|1
910|1
946|1
149|1
161|1
167|1
182|1
185|1
203|1
204|2
205|1
233|1
247|1
263|1
266|2
300|2
325|1
327|1
418|1
421|1
494|1
506|1
520|1
546|1
566|1
604|1
640|1
642|2
694|1
730|1
762|1
816|2
928|1
933|1
951|1
961|1
974|1
136|2
150|1
160|1
231|2
314|1
324|3
329|1
371|1
390|1
429|1
441|1
443|1
458|1
482|2
492|1
497|1
528|1
551|1
602|1
628|1
629|1
630|1
654|1
662|1
664|1
671|1
704|1
726|1
774|1
791|1
799|1
819|1
876|1
937|1
947|4
950|1
960|1
979|1
985|1
175|1
236|1
272|2
295|1
308|1
374|1
446|1
489|1
521|2
530|1
537|1
598|1
626|1
688|2
699|1
702|1
714|1
741|1
763|1
773|2
782|1
823|1
865|1
923|1
952|2
154|2
163|1
168|2
199|1
201|1
216|1
270|1
322|2
341|1
358|1
359|1
424|1
464|2
487|1
501|1
565|1
586|2
608|1
633|1
651|1
685|1
701|1
715|1
764|2
822|1
834|1
983|1
